alias_id,plant_id,alias_name,alias_key,alias_type,retrieved_at
42a2a1c2-69ec-5bb8-b676-8570241c74e6,605c6515-9636-5f72-91e7-51ae0bffb870,Eurycoma longifolia Jack,eurycoma_longifolia_jack,normalized_variant,2026-06-02T16:45:51+00:00
ca7b8ad4-e8e3-5d5a-9ec8-846d49c2a82c,61951194-1031-5191-89f5-060538998d44,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,peltophorum_pterocarpum_dc_backer_ex_k_heyne,normalized_variant,2026-06-02T16:45:52+00:00
36c8fc88-5259-592d-ba13-9562da65a527,61a98913-6049-5212-8482-2dc81251b4dd,Allium chinense G.Don,allium_chinense_g_don,normalized_variant,2026-06-02T16:45:51+00:00
8b5ed7af-1f7a-580e-82aa-66de13da6e07,61b44b71-407e-54b8-b729-fb3d55072a55,Plumbago indica L.,plumbago_indica_l,normalized_variant,2026-06-02T16:45:52+00:00
c4307ec1-6026-5273-a90b-85742011ffb7,6430846a-210a-5559-ad72-673cc5b2c8a1,Citrus hystrix DC.,citrus_hystrix_dc,normalized_variant,2026-06-02T16:45:51+00:00
a16481c0-3272-5eea-a751-5fbe41370882,6454f497-44e8-5eb0-a1c6-7c8d7bef9675,Scurrula fusca (Blume) G.Don,scurrula_fusca_blume_g_don,normalized_variant,2026-06-02T16:45:52+00:00
b2e8f6b1-774d-5bce-b3b2-cd53f216da26,647a87a3-9ba6-534b-ae14-830baef2165b,Blumea lacera (Burm.fil.) DC.,blumea_lacera_burm_fil_dc,normalized_variant,2026-06-02T16:45:51+00:00
1c795e07-7f9e-5b99-ac34-1664080ff46b,64b5a549-24de-577d-9328-9b6740919dae,Euphorbia prostrata Aiton,euphorbia_prostrata_aiton,normalized_variant,2026-06-02T16:45:51+00:00
61712627-7acd-5c2c-967e-5370487ac824,64cfc45f-fbb2-5a5b-86fb-d615de3e8503,Phyllanthus emblica L.,phyllanthus_emblica_l,normalized_variant,2026-06-02T16:45:52+00:00
603bd33e-9551-5af1-97cf-2e7473c35407,64e34a76-a01e-5d45-93f8-dee2689066da,Citrullus lanatus (Thunb.) Matsum. & Nakai,citrullus_lanatus_thunb_matsum_nakai,normalized_variant,2026-06-02T16:45:51+00:00
51add4d5-4527-5c60-8bf3-a2883600175e,64e34a76-a01e-5d45-93f8-dee2689066da,Citrullus vulgaris Schrad.,citrullus_vulgaris_schrad,synonym_variant,2026-06-02T16:45:51+00:00
a0002511-144e-55e9-95a0-d49c38e0ad68,65a5ff2b-a821-5ce0-bb10-b6b87d46b0bc,Sesamum indicum L.,sesamum_indicum_l,normalized_variant,2026-06-02T16:45:52+00:00
91026ad4-9ce7-5238-b1db-3acf5a67655c,65b1e648-401f-546b-85a4-5442833dc81d,Triphasia trifolia (Burm.fil.) P.Wilson,triphasia_trifolia_burm_fil_p_wilson,normalized_variant,2026-06-02T16:45:52+00:00
290fbb9c-3817-5644-af8f-b421e16380a1,6694cd48-83fb-5b92-8cf3-9c48441702b5,Oxalis corniculata L.,oxalis_corniculata_l,normalized_variant,2026-06-02T16:45:52+00:00
c6e92125-1126-593e-8207-70ac6fa86d73,67c180dd-0ad4-5c37-a707-0a7cf8911681,Plantago major L.,plantago_major_l,normalized_variant,2026-06-02T16:45:52+00:00
74a53f7b-5c90-5c7e-91e7-109e298b6cb1,68bc505a-dbef-5fd9-b3d6-720259fa5662,Luvunga sarmentosa (Blume) Kurz,luvunga_sarmentosa_blume_kurz,normalized_variant,2026-06-02T16:45:51+00:00
cd9c547d-c0b1-5363-998d-b59ac8da342d,69684683-53c8-5f13-b185-c057f8a77459,Derris elliptica (Wall.) Benth.,derris_elliptica_wall_benth,normalized_variant,2026-06-02T16:45:51+00:00
4e893dda-efe0-58ab-b2e6-91eb7bd19414,699f9cd1-c9d0-503a-9ec8-eeeb1fcc31a1,Scutellaria indica L.,scutellaria_indica_l,normalized_variant,2026-06-02T16:45:52+00:00
58024334-0837-54aa-b4d4-9e78a1df6e50,69b1b6e9-e3f5-5cd1-a05d-a0167a49efb0,Urceola laevigata (Juss.) D.J.Middleton & Livsh.,urceola_laevigata_juss_d_j_middleton_livsh,normalized_variant,2026-06-02T16:45:52+00:00
14662714-84c4-5fc4-87aa-706f0ca66aa6,69b1b6e9-e3f5-5cd1-a05d-a0167a49efb0,Parameria laevigata (Juss.) Moldenke,parameria_laevigata_juss_moldenke,synonym_variant,2026-06-02T16:45:52+00:00
57e699ba-f8cb-5e9e-9658-3d5fe6682379,6a811452-0eb3-5bdf-8f21-fb79b6b73361,Zingiber officinale Roscoe,zingiber_officinale_roscoe,normalized_variant,2026-06-02T16:45:52+00:00
7b3cf048-c236-5e0e-b7e9-6456a405a128,6ac5c230-db02-5815-824d-f9ade8f45627,Annona muricata L.,annona_muricata_l,normalized_variant,2026-06-02T16:45:51+00:00
fb9ea546-8e7b-54ea-9d23-aebfe15accb4,6b7427f2-8c69-5cc5-a343-9008168c36be,Clitoria ternatea L.,clitoria_ternatea_l,normalized_variant,2026-06-02T16:45:51+00:00
e0290b47-d74b-575c-852a-122d87da7a05,6ba5abd6-8df7-5851-a12a-24a1c6423478,Blumea balsamifera (L.) DC.,blumea_balsamifera_l_dc,normalized_variant,2026-06-02T16:45:51+00:00
e96a61ae-474e-52b6-9e8c-67c2625b2598,6c6ccc77-d2e7-5843-b6ae-355e75208af6,Ipomoea aquatica Forssk.,ipomoea_aquatica_forssk,normalized_variant,2026-06-02T16:45:51+00:00
e52801b2-7ac5-5ac1-ac2d-3efd61d39203,6c9ccae8-4a53-529c-a4b2-a4158bd84c35,Euphorbia tithymaloides L.,euphorbia_tithymaloides_l,normalized_variant,2026-06-02T16:45:51+00:00
c17d58b1-d5ea-5211-953d-62a4e69e96ca,6c9ccae8-4a53-529c-a4b2-a4158bd84c35,Pedilanthus tithymaloides (L.) Poit.,pedilanthus_tithymaloides_l_poit,synonym_variant,2026-06-02T16:45:51+00:00
d3281007-375a-5bda-b8e1-7b2d58a83b53,6ce361f3-5493-50d8-976f-54699df3da9c,Azadirachta indica A.Juss.,azadirachta_indica_a_juss,normalized_variant,2026-06-02T16:45:51+00:00
cfdaf934-7783-56df-a90d-48916d5a3b85,6d1f4293-f882-5cac-a61d-4ea98eb5b46d,Bougainvillea glabra Choisy,bougainvillea_glabra_choisy,normalized_variant,2026-06-02T16:45:51+00:00
512c3fde-511e-57b3-8ce2-c4fa26cd2dce,6e03fa79-16e8-5066-9e39-8ce174b861b3,Cyperus rotundus L.,cyperus_rotundus_l,normalized_variant,2026-06-02T16:45:51+00:00
24fda78c-4f9e-541b-8d31-c68d69fd2ccc,6f4f9e7e-24cb-5095-9378-79f2a270e8c2,Guazuma ulmifolia Lam.,guazuma_ulmifolia_lam,normalized_variant,2026-06-02T16:45:51+00:00
f816853a-bfb0-5e0d-8c58-04456f6edefd,6f8e4fe7-5fe6-5f20-a6b5-11d27f3bdb1b,Abelmoschus manihot (L.) Medik.,abelmoschus_manihot_l_medik,normalized_variant,2026-06-02T16:45:51+00:00
d0b0a644-3a3a-5284-872e-a06b43018f1d,70582189-28a1-5b4f-bf99-2821bd13bf96,"Clerodendrum serratum Spreng., 1825",clerodendrum_serratum_spreng_1825,normalized_variant,2026-06-02T16:45:51+00:00
