canonical_key,ensembl_id,gene_symbol,approved_name,uniprot_accession,uniprot_source,organism_tax_id
uniprot:P08579,ENSG00000125870,SNRPB2,small nuclear ribonucleoprotein polypeptide b2,P08579,uniprot_swissprot,9606
uniprot:Q8WUT4,ENSG00000125872,LRRN4,leucine rich repeat neuronal 4,Q8WUT4,uniprot_swissprot,9606
uniprot:Q9NRC9,ENSG00000125879,OTOR,otoraplin,Q9NRC9,uniprot_swissprot,9606
uniprot:Q9UJA3,ENSG00000125885,MCM8,minichromosome maintenance 8 homologous recombination repair factor,Q9UJA3,uniprot_swissprot,9606
uniprot:Q9H106,ENSG00000125900,SIRPD,signal regulatory protein delta,Q9H106,uniprot_swissprot,9606
uniprot:P61244,ENSG00000125952,MAX,myc associated transcriptional regulator x,P61244,uniprot_swissprot,9606
uniprot:P43026,ENSG00000125965,GDF5,growth differentiation factor 5,P43026,uniprot_swissprot,9606
uniprot:Q9Y5R2,ENSG00000125966,MMP24,matrix metallopeptidase 24,Q9Y5R2,uniprot_swissprot,9606
uniprot:P41134,ENSG00000125968,ID1,inhibitor of dna binding 1,P41134,uniprot_swissprot,9606
uniprot:Q9UKM9,ENSG00000125970,RALY,raly heterogeneous nuclear ribonucleoprotein,Q9UKM9,uniprot_swissprot,9606
uniprot:Q9NP97,ENSG00000125971,DYNLRB1,dynein light chain roadblock-type 1,Q9NP97,uniprot_swissprot,9606
uniprot:Q9UPG8,ENSG00000126003,PLAGL2,plag1 like zinc finger 2,Q9UPG8,uniprot_swissprot,9606
uniprot:P30550,ENSG00000126010,GRPR,gastrin releasing peptide receptor,P30550,uniprot_swissprot,9606
uniprot:P41229,ENSG00000126012,KDM5C,lysine demethylase 5c,P41229,uniprot_swissprot,9606
uniprot:P49721,ENSG00000126067,PSMB2,proteasome 20s subunit beta 2,P49721,uniprot_swissprot,9606
uniprot:Q11203,ENSG00000126091,ST3GAL3,"st3 beta-galactoside alpha-2,3-sialyltransferase 3",Q11203,uniprot_swissprot,9606
uniprot:Q07866,ENSG00000126214,KLC1,kinesin light chain 1,Q07866,uniprot_swissprot,9606
uniprot:O43542,ENSG00000126215,XRCC3,x-ray repair cross complementing 3,O43542,uniprot_swissprot,9606
uniprot:O15068,ENSG00000126217,MCF2L,mcf.2 cell line derived transforming sequence like,O15068,uniprot_swissprot,9606
uniprot:P00742,ENSG00000126218,F10,coagulation factor x,P00742,uniprot_swissprot,9606
uniprot:P04632,ENSG00000126247,CAPNS1,calpain small subunit 1,P04632,uniprot_swissprot,9606
uniprot:O14842,ENSG00000126266,FFAR1,free fatty acid receptor 1,O14842,uniprot_swissprot,9606
uniprot:P10827,ENSG00000126351,THRA,thyroid hormone receptor alpha,P10827,uniprot_swissprot,9606
uniprot:P32248,ENSG00000126353,CCR7,c-c motif chemokine receptor 7,P32248,uniprot_swissprot,9606
uniprot:P20393,ENSG00000126368,NR1D1,nuclear receptor subfamily 1 group d member 1,P20393,uniprot_swissprot,9606
uniprot:Q9HB09,ENSG00000126453,BCL2L12,bcl2 like 12,Q9HB09,uniprot_swissprot,9606
uniprot:Q99873,ENSG00000126457,PRMT1,protein arginine methyltransferase 1,Q99873,uniprot_swissprot,9606
uniprot:P10301,ENSG00000126458,RRAS,ras related,P10301,uniprot_swissprot,9606
uniprot:Q9NZU1,ENSG00000126500,FLRT1,fibronectin leucine rich transmembrane protein 1,Q9NZU1,uniprot_swissprot,9606
uniprot:P04424,ENSG00000126522,ASL,argininosuccinate lyase,P04424,uniprot_swissprot,9606
uniprot:Q9Y3A5,ENSG00000126524,SBDS,sbds ribosome maturation factor,Q9Y3A5,uniprot_swissprot,9606
uniprot:P47710,ENSG00000126545,CSN1S1,casein alpha s1,P47710,uniprot_swissprot,9606
uniprot:P42229,ENSG00000126561,STAT5A,signal transducer and activator of transcription 5a,P42229,uniprot_swissprot,9606
uniprot:Q96J92,ENSG00000126562,WNK4,wnk lysine deficient protein kinase 4,Q96J92,uniprot_swissprot,9606
uniprot:Q14457,ENSG00000126581,BECN1,beclin 1,Q14457,uniprot_swissprot,9606
uniprot:P05129,ENSG00000126583,PRKCG,protein kinase c gamma,P05129,uniprot_swissprot,9606
uniprot:Q12931,ENSG00000126602,TRAP1,tnf receptor associated protein 1,Q12931,uniprot_swissprot,9606
uniprot:Q9H0G5,ENSG00000126653,NSRP1,nuclear speckle splicing regulatory protein 1,Q9H0G5,uniprot_swissprot,9606
uniprot:P09912,ENSG00000126709,IFI6,interferon alpha inducible protein 6,P09912,uniprot_swissprot,9606
uniprot:Q8TF68,ENSG00000126746,ZNF384,zinc finger protein 384,Q8TF68,uniprot_swissprot,9606
uniprot:Q16384,ENSG00000126752,SSX1,ssx family member 1,Q16384,uniprot_swissprot,9606
uniprot:P19419,ENSG00000126767,ELK1,ets transcription factor elk1,P19419,uniprot_swissprot,9606
uniprot:Q63HM2,ENSG00000126773,PCNX4,pecanex 4,Q63HM2,uniprot_swissprot,9606
uniprot:Q86UP2,ENSG00000126777,KTN1,kinectin 1,Q86UP2,uniprot_swissprot,9606
uniprot:Q15475,ENSG00000126778,SIX1,six homeobox 1,Q15475,uniprot_swissprot,9606
uniprot:Q9H4E5,ENSG00000126785,RHOJ,ras homolog family member j,Q9H4E5,uniprot_swissprot,9606
uniprot:Q15398,ENSG00000126787,DLGAP5,dlg associated protein 5,Q15398,uniprot_swissprot,9606
uniprot:Q9Y2K1,ENSG00000126804,ZBTB1,zinc finger and btb domain containing 1,Q9Y2K1,uniprot_swissprot,9606
uniprot:P20742,ENSG00000126838,PZP,pzp alpha-2-macroglobulin like,P20742,uniprot_swissprot,9606
uniprot:Q9NQW5,ENSG00000126856,PRDM7,pr/set domain 7,Q9NQW5,uniprot_swissprot,9606
uniprot:P22794,ENSG00000126860,EVI2A,ecotropic viral integration site 2a,P22794,uniprot_swissprot,9606
uniprot:P35658,ENSG00000126883,NUP214,nucleoporin 214,P35658,uniprot_swissprot,9606
uniprot:P30518,ENSG00000126895,AVPR2,arginine vasopressin receptor 2,P30518,uniprot_swissprot,9606
uniprot:P36507,ENSG00000126934,MAP2K2,mitogen-activated protein kinase kinase 2,P36507,uniprot_swissprot,9606
uniprot:O60220,ENSG00000126953,TIMM8A,translocase of inner mitochondrial membrane 8a,O60220,uniprot_swissprot,9606
uniprot:P27824,ENSG00000127022,CANX,calnexin,P27824,uniprot_swissprot,9606
uniprot:Q99983,ENSG00000127083,OMD,osteomodulin,Q99983,uniprot_swissprot,9606
