alias_id,plant_id,alias_name,alias_key,alias_type,source_name,source_url,source_batch_id,retrieved_at
al_bc46ea20c7e3d11d253dfa47,pl_5db2d6b92f2a68d607f69fdd,Platycodon grandiflorus (Jacq.) A.DC.,platycodon grandiflorus jacq a dc,normalized_variant,KNApSAcK World,,,
al_4c64fa5b0d9256d36a1bdc83,pl_5de3b54b7a647c5b526e5c77,Hedychium coronarium J.Koenig,hedychium coronarium j koenig,normalized_variant,KNApSAcK World,,,
al_cf01fd9f30c367bb9dd0e7b0,pl_5e67ada87380b30390fa7577,Lagerstroemia speciosa (L.) Pers.,lagerstroemia speciosa l pers,normalized_variant,KNApSAcK World,,,
al_e6cec7a7efecb6ad2e1b6287,pl_5f2b1ca8df8cdbb523696d0c,Senna siamea (Lam.) H.S.Irwin & Barneby,senna siamea lam h s irwin barneby,normalized_variant,KNApSAcK World,,,
al_80326f59a9d10d2feecba1e9,pl_5f2b1ca8df8cdbb523696d0c,Cassia siamea Lam.,cassia siamea lam,synonym_variant,KNApSAcK World,,,
al_82426ef01db3a7790bb5b2bd,pl_5f78c1138e669bc8cf51c1d4,Garcinia mangostana L.,garcinia mangostana l,normalized_variant,KNApSAcK World,,,
al_34951c526306a53cc910c3f8,pl_5f7e478d1f3d656783411fd8,Baeckea frutescens L.,baeckea frutescens l,normalized_variant,KNApSAcK World,,,
al_01f4774a03c887f35a2d055b,pl_5f97ba25f4fa11235def69ff,Tectona grandis L.f.,tectona grandis l f,normalized_variant,KNApSAcK World,,,
al_d4946b6ffc718aef114244ec,pl_5fc4e4de88a607cff83a2b80,Rosa × damascena Mill.,rosa damascena mill,normalized_variant,KNApSAcK World,,,
al_684b120004c8dff0ea91d809,pl_5fe14f2bbacadd1e99c5aae7,Pontederia crassipes Mart.,pontederia crassipes mart,normalized_variant,KNApSAcK World,,,
al_bbf00e8c4ee1765adff1f482,pl_5fe14f2bbacadd1e99c5aae7,Eichhornia crassipes (Mart.) Solms,eichhornia crassipes mart solms,synonym_variant,KNApSAcK World,,,
al_ad489d3d7ad07c1d74c684cf,pl_60299ff4d78206adf476fb65,Blumea lacera (Burm.fil.) DC.,blumea lacera burm fil dc,normalized_variant,KNApSAcK World,,,
al_6e08c564b698e4e3f52a8096,pl_608bec1a73b31295052e785f,Talinum paniculatum (Jacq.) Gaertn.,talinum paniculatum jacq gaertn,normalized_variant,KNApSAcK World,,,
al_6d7197ac02521d786abc3c8f,pl_60b852f61cbb6bd5899c655c,Aegle marmelos (L.) Corrêa,aegle marmelos l correa,normalized_variant,KNApSAcK World,,,
al_ff6a1aaf0b1f063ce8ff0f1f,pl_60f2129c73ff69efe732ed59,Grona triflora (L.) H.Ohashi & K.Ohashi,grona triflora l h ohashi k ohashi,normalized_variant,KNApSAcK World,,,
al_a93a48583f31731675ba95da,pl_6431b375eed58927a648a67d,Bougainvillea glabra Choisy,bougainvillea glabra choisy,normalized_variant,KNApSAcK World,,,
al_76f5075d7239a2ada3ec6474,pl_64749126c521a0366844e038,Stephania japonica (Thunb.) Miers,stephania japonica thunb miers,normalized_variant,KNApSAcK World,,,
al_7e2378c3fd54cd380b1e6898,pl_64d358fe8ef81dcaab7910c7,Ximenia americana L.,ximenia americana l,normalized_variant,KNApSAcK World,,,
al_906256a592372e903746b84f,pl_65277045f455922f387dc788,Magnolia × alba (DC.) Figlar,magnolia alba dc figlar,normalized_variant,KNApSAcK World,,,
al_05f2105e1f2029096d0df46a,pl_65277045f455922f387dc788,Michelia × alba DC.,michelia alba dc,synonym_variant,KNApSAcK World,,,
al_9e4cd31485d919ac2c539c66,pl_657fe868b8d5ec232f56ab58,Cycas revoluta Thunb.,cycas revoluta thunb,normalized_variant,KNApSAcK World,,,
al_213c50535220a1f832e54571,pl_6675a728f19a8f870e2800cb,Gomphrena globosa L.,gomphrena globosa l,normalized_variant,KNApSAcK World,,,
